var,nombre
var_a,Densidad poblacional: Hab/km² (2010)
var_b,tasa promocion efectiva secundaria (2017)
var_c,promedio mortalidad infantil 2016-2019
var_d,Homicidios dolosos promedio (2016-2019
var_e,Muertes en Accidentes Viales promedio (2016-2019
var_f,Robos (excluye los agravados por el resultado de lesiones y/o muertes) promedio (2016-2019
var_g,Robos agravados por el resultado de lesiones y/o muertes  promedio (2016-2019
var_h,Violaciones promedio (2016-2019
var_i,exportaciones promedio (2016-2019) en USD
var_j,Demanda de MWH energía electrica (2016)
var_k,Pobreza Promedio2017-2019
var_l,Tasa actividad Promedio 2017-2019
var_m,cantidad empresas 2016-2017
var_n,remuneracion  real trab registrados priv (2016-2019)
var_o,"Porcentaje empleados en Agricultura, ganadería, pesca y actividades extractivas (2016-2019)"
var_p,"Porcentaje empleados en Comercio, servicios, electricidad, gas, agua y construccion (2016-2019)"
var_q,Porcentaje empleados en Industria (2016-2019)
