Provincia,Habitantes (2010),tasa promocion efectiva secundaria (2017),promedio mortalidad infantil 2016-2019,Homicidios dolosos promedio (2016-2019,Muertes en Accidentes Viales promedio (2016-2019,Robos (excluye los agravados por el resultado de lesiones y/o muertes) promedio (2016-2019,Robos agravados por el resultado de lesiones y/o muertes  promedio (2016-2019,Violaciones promedio (2016-2019,exportaciones promedio (2016-2019) en USD,Demanda de MWH energía electrica (2016),Pobreza Promedio2017-2019,Tasa actividad Promedio 2017-2019,cantidad empresas 2016-2017,remuneracion  real trab registrados priv (2016-2019),"Porcentaje empleados en Agricultura, ganadería, pesca y actividades extractivas (2016-2019)","Porcentaje empleados en Comercio, servicios, electricidad, gas, agua y construccion (2016-2019)",Porcentaje empleados en Industria (2016-2019)
Ciudad Autónoma de Buenos Aires,"2,890,151",83.35,6.79246247685643,127.25,127.75,68288,209.25,246.5,325200434.5,13309446.825,12.9914023552777,55.05,125169,22439.7233592136,0.01105437678525,0.868602469391369,0.120343153823381
Buenos Aires,"15,625,084",80.76,9.42618205590277,982.25,1032.25,99852.25,1303.25,1403.5,20514426814,32578780.948,28.3859934031754,46.3183333333333,189026,18644.5317517126,0.041807556136226,0.710877152953767,0.247315290910007
Catamarca,"367,828",82.49,9.58641975308643,11,73.5,5654.25,0,16.25,508353987,1889360.187,33.1370006099066,44.9,2976,15116.9523234475,0.107659808305691,0.703393475066599,0.188946716627709
Chaco,"1,055,259",75.67,10.7473187265464,62,157.5,5944.5,0.25,81.25,386650540.5,2220196.355,38.1998110801738,38.4,8845,14208.1222594324,0.095465201002312,0.802776753586513,0.101758045411174
Chubut,"509,108",81.01,8.0382636530429,48.75,41.75,4402.75,106.75,149.5,2529327211.75,3621164.546,26.0139258194883,43.0291666666667,8838,30099.0549035754,0.200775452879964,0.67567859806573,0.123545949054306
Córdoba,"3,308,876",83.44,8.5370008773731,115,361.5,62149.5,352.75,197.75,8346469783.25,8285952.96,31.5139799034241,47.0666666666667,58748,16670.893148174,0.060502426422515,0.738197578122513,0.201299995454972
Corrientes,"992,595",80.56,13.0477041887014,28.5,84.75,5550.25,24.25,87.25,216019532.25,1721571.67348449,40.3769200629077,42.3416666666667,8494,13881.0159245159,0.163423356359939,0.691888251905293,0.144688391734767
Entre Ríos,"1,235,994",77.36,9.42636219831163,59,152.5,7829.25,57.5,64,1294013342,3170066.27,34.8454882452995,42.4041666666667,16505,14973.0633894315,0.144768624585026,0.654687467824058,0.200543907590915
Formosa,"530,162",78.62,14.1157591667372,38,91.75,3279.5,2.75,82,50325832.75,1073416.67451801,32.004509408492,33.8833333333333,2618,15021.9838994591,0.076436554340969,0.854692163564293,0.068871282094738
Jujuy,"673,307",76.46,10.4157053725191,22,72.5,7011,148.75,147.5,511357383.75,981188.5065,30.5866478118488,45.1166666666667,4951,15067.9232365142,0.198496941742705,0.607366890604633,0.194136167652662
La Pampa,"318,951",78.92,8.5728402821426,8.25,42,1389.5,0,27.75,483818800.75,724520.19,30.668870189066,43,6333,16759.2155780571,0.128664214827043,0.750637393316294,0.120698391856663
La Rioja,"333,642",88.55,9.94128914742347,8.5,70,2256.5,0,50,217117298,1245172.376,26.9601573131122,42.5666666666667,2456,14011.7482394133,0.156116102416473,0.546814380465283,0.297069517118244
Mendoza,"1,738,929",79.19,8.0140715876234,108,146,30492.25,2119,301.5,1412719638.75,5998611.735,32.1166252090193,45.65,25228,15198.3751815696,0.135592525297656,0.68191841379414,0.182489060908205
Misiones,"1,101,593",74.63,8.6738622039853,51,213.75,5894.25,144.75,301.25,365619464.75,2025392.9,33.9273090799731,44.1333333333333,9863,13061.9560479335,0.115207460556064,0.685831176680252,0.198961362763684
Neuquén,"551,266",75.58,6.9084238951459,34.75,74,13152.5,191,38,153847363,2083673.79062223,26.0850459243874,44.8666666666667,8949,29735.2897877612,0.211428074402432,0.720662753106655,0.067909172490913
Río Negro,"638,645",78.58,8.220180864024,27.75,74.25,7894.5,0,66.75,408263452.75,1714530.44415377,31.1091563878635,40.7,11142,18290.9054952123,0.230970544138491,0.665897645397689,0.10313181046382
Salta,"1,214,441",74.51,10.9193155068899,74,156.25,17467.5,138,314.5,1006675631.25,1851271.96,33.9311302845023,46.7666666666667,10165,14463.9566897745,0.19255464797352,0.671558716563709,0.135886635462771
San Juan,"681,055",78.86,9.30415370178297,16.25,86.5,6927,554.5,24.5,1222607366.5,2045157.273,29.1126858636757,40.55,7611,15408.3676343363,0.12398479381687,0.710838151024715,0.165177055158415
San Luis,"432,310",85.04,8.93144208037827,12.75,79.75,2008.75,25.75,51,504795800.5,1448736.921,28.1278661323742,42.95,5262,17489.5658397229,0.05840548709853,0.63366720725866,0.307927305642811
Santa Cruz,"273,964",69.29,8.41020022174397,14,31.25,2504.25,42.25,48.25,2252238991.5,1037117.52306715,18.9169271741911,44.5583333333333,4153,35549.5683508635,0.320197698497342,0.622259547750163,0.057542753752495
Santa Fe,"3,194,537",76.06,8.54714825692593,315,354.75,44097,537.5,198.5,13880234148,10502164.223,30.3230012929048,44.5958333333333,56493,17627.6030150951,0.048919080873167,0.704823004175387,0.246257914951445
Santiago del Estero,"874,006",77.04,9.29413891040537,36.75,222,7953.75,9,104.25,892883537.25,1384806.118,42.8755746750129,40.55,5429,12692.0643109312,0.077769156159069,0.820026245221658,0.102204598619273
"Tierra del Fuego, Antártida e Islas del Atlántico Sur (4)","127,205",86.39,7.0468253968254,3.25,7.25,766,2.75,28.5,194393339.5,472715.228,17.6697536127326,43.7083333333333,2884,13632.7577535444,0.049881326021619,0.644869575052351,0.30524909892603
Tucumán,"1,448,188",76.92,11.2255955579438,118.5,269.75,14955.25,2882.25,193.25,1080672049.25,2937885.776,30.0359827561807,44.4916666666667,12236,29891.4831606944,0.202613165195665,0.65458493498606,0.142801899818274
